ideMediaIndicadorQualidade,nomIndicador,qtdHoraInterrupcao,mesReferencia,anoReferencia,dthProcessamento
1,DEC Apurado,16.87,12,2000,13/09/2017 00:00:00
2,DEC Apurado,16.11,12,2001,13/09/2017 00:00:00
3,DEC Apurado,18.01,12,2002,13/09/2017 00:00:00
4,DEC Apurado,16.37,12,2003,13/09/2017 00:00:00
5,DEC Apurado,15.81,12,2004,13/09/2017 00:00:00
6,DEC Apurado,16.75,12,2005,13/09/2017 00:00:00
7,DEC Apurado,16.04,12,2006,13/09/2017 00:00:00
8,DEC Apurado,16.14,12,2007,13/09/2017 00:00:00
9,DEC Apurado,16.65,12,2008,13/09/2017 00:00:00
10,DEC Apurado,18.77,12,2009,13/09/2017 00:00:00
11,DEC Apurado,18.42,12,2010,13/09/2017 00:00:00
12,DEC Apurado,18.53,12,2011,13/09/2017 00:00:00
13,DEC Apurado,18.66,12,2012,13/09/2017 00:00:00
14,DEC Apurado,18.35,12,2013,13/09/2017 00:00:00
15,DEC Apurado,18.06,12,2014,13/09/2017 00:00:00
16,DEC Apurado,18.59,12,2015,13/09/2017 00:00:00
17,DEC Apurado,15.82,12,2016,13/09/2017 00:00:00
18,DEC Limite,34.06,12,2000,13/09/2017 00:00:00
19,DEC Limite,24.36,12,2001,13/09/2017 00:00:00
20,DEC Limite,22.36,12,2002,13/09/2017 00:00:00
21,DEC Limite,22.25,12,2003,13/09/2017 00:00:00
22,DEC Limite,21.68,12,2004,13/09/2017 00:00:00
23,DEC Limite,21.03,12,2005,13/09/2017 00:00:00
24,DEC Limite,20.04,12,2006,13/09/2017 00:00:00
25,DEC Limite,19.28,12,2007,13/09/2017 00:00:00
26,DEC Limite,18.68,12,2008,13/09/2017 00:00:00
27,DEC Limite,17.86,12,2009,13/09/2017 00:00:00
28,DEC Limite,17.01,12,2010,13/09/2017 00:00:00
29,DEC Limite,16.23,12,2011,13/09/2017 00:00:00
30,DEC Limite,15.87,12,2012,13/09/2017 00:00:00
31,DEC Limite,15.19,12,2013,13/09/2017 00:00:00
32,DEC Limite,14.58,12,2014,13/09/2017 00:00:00
33,DEC Limite,13.94,12,2015,13/09/2017 00:00:00
34,DEC Limite,13.31,12,2016,13/09/2017 00:00:00
35,FEC Apurado,14.82,12,2000,13/09/2017 00:00:00
36,FEC Apurado,14.20,12,2001,13/09/2017 00:00:00
37,FEC Apurado,14.77,12,2002,13/09/2017 00:00:00
38,FEC Apurado,12.89,12,2003,13/09/2017 00:00:00
39,FEC Apurado,12.12,12,2004,13/09/2017 00:00:00
40,FEC Apurado,12.53,12,2005,13/09/2017 00:00:00
41,FEC Apurado,11.53,12,2006,13/09/2017 00:00:00
42,FEC Apurado,11.81,12,2007,13/09/2017 00:00:00
43,FEC Apurado,11.37,12,2008,13/09/2017 00:00:00
44,FEC Apurado,11.72,12,2009,13/09/2017 00:00:00
45,FEC Apurado,11.31,12,2010,13/09/2017 00:00:00
46,FEC Apurado,11.18,12,2011,13/09/2017 00:00:00
47,FEC Apurado,11.11,12,2012,13/09/2017 00:00:00
48,FEC Apurado,10.53,12,2013,13/09/2017 00:00:00
49,FEC Apurado,10.10,12,2014,13/09/2017 00:00:00
50,FEC Apurado,9.86,12,2015,13/09/2017 00:00:00
51,FEC Apurado,8.87,12,2016,13/09/2017 00:00:00
52,FEC Limite,36.50,12,2000,13/09/2017 00:00:00
53,FEC Limite,22.64,12,2001,13/09/2017 00:00:00
54,FEC Limite,20.61,12,2002,13/09/2017 00:00:00
55,FEC Limite,19.29,12,2003,13/09/2017 00:00:00
56,FEC Limite,18.53,12,2004,13/09/2017 00:00:00
57,FEC Limite,18.20,12,2005,13/09/2017 00:00:00
58,FEC Limite,17.63,12,2006,13/09/2017 00:00:00
59,FEC Limite,17.03,12,2007,13/09/2017 00:00:00
60,FEC Limite,16.44,12,2008,13/09/2017 00:00:00
61,FEC Limite,15.63,12,2009,13/09/2017 00:00:00
62,FEC Limite,14.54,12,2010,13/09/2017 00:00:00
63,FEC Limite,13.61,12,2011,13/09/2017 00:00:00
64,FEC Limite,13.19,12,2012,13/09/2017 00:00:00
65,FEC Limite,12.47,12,2013,13/09/2017 00:00:00
66,FEC Limite,11.77,12,2014,13/09/2017 00:00:00
67,FEC Limite,11.03,12,2015,13/09/2017 00:00:00
68,FEC Limite,10.33,12,2016,13/09/2017 00:00:00
69,DEC Apurado,14.35,12,2017,29/06/2018 00:00:00
70,DEC Limite,12.77,12,2017,29/06/2018 00:00:00
71,FEC Apurado,8.20,12,2017,29/06/2018 00:00:00
72,FEC Limite,9.72,12,2017,29/06/2018 00:00:00
73,DEC Apurado,12.58,12,2018,24/07/2019 00:00:00
74,DEC Limite,12.72,12,2018,24/07/2019 00:00:00
75,FEC Apurado,7.05,12,2018,24/07/2019 00:00:00
76,FEC Limite,9.52,12,2018,24/07/2019 00:00:00
